data,parse_method,last_updated
A84599924R,abs_ts,
A84600026V,abs_ts,
A84600194F,abs_ts,
A84600146L,abs_ts,
A84599623K,abs_ts,
A84600151F,abs_ts,
A84600157V,abs_ts,
A84600241K,abs_ts,
A84599791W,abs_ts,
A84599656F,abs_ts,
A84600016R,abs_ts,
A84600184A,abs_ts,
A84599554T,abs_ts,
A84600112R,abs_ts,
A84599848X,abs_ts,
A84599920F,abs_ts,
A84600022K,abs_ts,
A84600190W,abs_ts,
A84600142C,abs_ts,
A84599666K,abs_ts,
A84600032R,abs_ts,
A84599672F,abs_ts,
A84599678V,abs_ts,
A84599684R,abs_ts,
A84599930K,abs_ts,
A84600122V,abs_ts,
A84600038C,abs_ts,
A84599647C,abs_ts,
A84600259J,abs_ts,
A84600091R,abs_ts,
A84599815C,abs_ts,
A84599662A,abs_ts,
A84600028X,abs_ts,
A84599668R,abs_ts,
A84599674K,abs_ts,
A84599680F,abs_ts,
A84599926V,abs_ts,
A84600118C,abs_ts,
A84600034V,abs_ts,
A84600076T,abs_ts,
A84424687C,abs_ts,
A84424777J,abs_ts,
A84424785J,abs_ts,
A84424786K,abs_ts,
A84424778K,abs_ts,
A84424780W,abs_ts,
A84424598A,abs_ts,
A84424600A,abs_ts,
A84424688F,abs_ts,
A84424689J,abs_ts,
A84424694A,abs_ts,
A84424597X,abs_ts,
A84600252T,abs_ts,
A84600254W,abs_ts,
A84424695C,abs_ts,
A84424696F,abs_ts,
A84424781X,abs_ts,
A84433594K,abs_ts,
A84433597T,abs_ts,
A84433476W,abs_ts,
A84424602F,abs_ts,
A85223482F,abs_ts,
A85223418L,abs_ts,
A84424601C,abs_ts,
A84423054K,abs_ts,
A84423265K,abs_ts,
A84423279X,abs_ts,
A84423363R,abs_ts,
A84423321T,abs_ts,
A84423293V,abs_ts,
A84423047L,abs_ts,
A84423267R,abs_ts,
A84423281K,abs_ts,
A84423365V,abs_ts,
A84423323W,abs_ts,
A84423295X,abs_ts,
A84090257V,abs_ts,
A84090258W,abs_ts,
A84090259X,abs_ts,
A84090255R,abs_ts,
A84090265V,abs_ts,
A84090266W,abs_ts,
A84090262L,abs_ts,
A84090248T,abs_ts,
A84090251F,abs_ts,
A84090256T,abs_ts,
A84090252J,abs_ts,
A84090263R,abs_ts,
A84090253K,abs_ts,
A84090260J,abs_ts,
A84090261K,abs_ts,
A84090250C,abs_ts,
A84090254L,abs_ts,
A84090249V,abs_ts,
A84090264T,abs_ts,
A84932399X,abs_ts,
A84423576V,abs_ts,
A84423800A,abs_ts,
A84423695K,abs_ts,
A84423696L,abs_ts,
A84423688L,abs_ts,
A2060844K,abs_ts,
A3571809T,abs_ts,
A3571805J,abs_ts,
A3571797V,abs_ts,
A3571817T,abs_ts,
A3571819W,abs_ts,
A3571815L,abs_ts,
A3571787R,abs_ts,
A3571791F,abs_ts,
A3571803C,abs_ts,
A3571793K,abs_ts,
A3571823L,abs_ts,
A3571801X,abs_ts,
A3571813J,abs_ts,
A3571789V,abs_ts,
A3571799X,abs_ts,
A3571785K,abs_ts,
A3571821J,abs_ts,
A3571795R,abs_ts,
A590714V,abs_ts,
A590732X,abs_ts,
A590750C,abs_ts,
A590768A,abs_ts,
A590786F,abs_ts,
A590804X,abs_ts,
A590822C,abs_ts,
A590840J,abs_ts,
A590696A,abs_ts,
pt_emp_vic,abs_lfs_parttime,
abs_lfs_youth,abs_lfs_youth,
EQ03,abs_lfs_cube,
NM2,abs_lfs_cube,
UM2,abs_lfs_cube,
RM1,abs_lfs_cube,
EM2b,abs_lfs_cube,
EQ08,abs_lfs_cube,
